,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred,bci_task,repetitions,architecture,pretrain_dense_units,test_channel,model,n_augmentations,dense_units
0,0.7058216333389282,0,,0.8108410239219666,133,0.619935929775238,131,0.6237801313400269,1640766207,0.6237801313400269,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
1,0.6272949576377869,1,,0.65388423204422,293,0.5289270877838135,131,0.5674808621406555,1640766367,0.5674808621406555,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
2,0.5877227187156677,2,,0.5779883861541748,458,0.46808090806007385,131,0.531100332736969,1640766532,0.531100332736969,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
3,0.5437042713165283,3,,0.5057256817817688,655,0.41197898983955383,131,0.49386659264564514,1640766729,0.49386659264564514,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
4,0.4984462559223175,4,,0.4355115592479706,817,0.36288830637931824,131,0.4604244530200958,1640766891,0.4604244530200958,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
5,0.4571613371372223,5,,0.37125319242477417,973,0.3074415326118469,131,0.4210602045059204,1640767047,0.421060174703598,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
6,0.42584654688835144,6,,0.3256022334098816,1111,0.29301193356513977,131,0.4135696589946747,1640767185,0.4135696589946747,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
7,0.3966622054576874,7,,0.28475743532180786,1275,0.2465212047100067,131,0.37670275568962097,1640767349,0.37670275568962097,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
8,0.370352566242218,8,,0.24902601540088654,1437,0.20866720378398895,131,0.34585848450660706,1640767511,0.34585848450660706,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
9,0.3495534062385559,9,,0.22286474704742432,1606,0.19489054381847382,131,0.3384464681148529,1640767680,0.3384464681148529,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
10,0.33149948716163635,10,,0.19732995331287384,1785,0.16809655725955963,131,0.3113330602645874,1640767859,0.3113330602645874,24orv839,24,16,39,100,0.5,,0.1670105904340744,106,,,medium,nadam,0.7,0.01,0.7,,,,LSTM-3,128,0,,,
