,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred,bci_task,repetitions,architecture,pretrain_dense_units,test_channel,model,n_augmentations,dense_units
0,0.6353334188461304,0,,0.6693661212921143,17,0.6163225769996643,90,0.628170371055603,1640571495,0.628170371055603,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
1,0.5984660387039185,1,,0.5755220651626587,29,0.5775631070137024,90,0.6095147132873535,1640571508,0.6095147132873535,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
2,0.5896579027175903,2,,0.5597284436225891,43,0.5657884478569031,90,0.603253185749054,1640571521,0.603253185749054,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
3,0.5866960287094116,3,,0.5546384453773499,56,0.5552841424942017,90,0.5979159474372864,1640571534,0.5979159474372864,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
4,0.584071159362793,4,,0.5497117042541504,67,0.5546544194221497,90,0.5970145463943481,1640571545,0.5970145463943481,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
5,0.5828896760940552,5,,0.5478498935699463,79,0.5461825728416443,90,0.5930605530738831,1640571557,0.5930605530738831,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
6,0.5815407037734985,6,,0.5450959205627441,90,0.5422419905662537,90,0.5910883545875549,1640571569,0.5910883545875549,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
7,0.5807256102561951,7,,0.5435773134231567,101,0.5440558791160583,90,0.5915753245353699,1640571579,0.5915753245353699,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
8,0.5801225900650024,8,,0.5423885583877563,113,0.5471189022064209,90,0.5928184390068054,1640571591,0.5928184390068054,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
9,0.5792343020439148,9,,0.5410749316215515,124,0.5387992858886719,90,0.5885952115058899,1640571602,0.5885952115058899,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
10,0.5793967843055725,10,,0.5421290397644043,135,0.5395561456680298,90,0.5892356634140015,1640571613,0.5892356634140015,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
11,0.5794702768325806,11,,0.5413787364959717,146,0.5396537780761719,90,0.5889317393302917,1640571624,0.588931679725647,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
12,0.5778673887252808,12,,0.5384724140167236,157,0.5386665463447571,90,0.5883945822715759,1640571635,0.5883945822715759,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
13,0.5780274271965027,13,,0.5391969084739685,168,0.5393357872962952,90,0.5886266231536865,1640571646,0.5886266231536865,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
14,0.5778120160102844,14,,0.5385435819625854,178,0.5364770889282227,90,0.587084949016571,1640571656,0.587084949016571,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
15,0.5777340531349182,15,,0.5383619666099548,188,0.5403954386711121,90,0.5890349745750427,1640571667,0.5890349745750427,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
16,0.5762775540351868,16,,0.5360996127128601,199,0.5371300578117371,90,0.5875268578529358,1640571677,0.5875268578529358,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
17,0.5765750408172607,17,,0.5366898775100708,210,0.5398994088172913,90,0.5889836549758911,1640571688,0.5889836549758911,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
18,0.5756374597549438,18,,0.5346661806106567,220,0.5396368503570557,90,0.588849663734436,1640571698,0.588849663734436,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
19,0.5757815837860107,19,,0.5354147553443909,231,0.5373932123184204,90,0.5876379609107971,1640571709,0.5876379609107971,18sb2xx0,24,16,39,100,0.5,,0.5821340084075928,65,,,medium,nadam,0.7,0.01,0.7,,,,Dense,128,0,,,
