,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss
0,0.631769597530365,0,0.8142080903053284,0.8142082095146179,116,0.6233515739440918,0,0.5451697707176208,1640122455,0.6233515739440918
1,0.5716614127159119,1,0.6810997724533081,0.6810997724533081,210,0.4763801693916321,1,0.49334803223609924,1640122549,0.4763801693916321
2,0.5282258987426758,2,0.5843086242675781,0.5843086242675781,306,0.3654577434062958,2,0.4340352416038513,1640122645,0.3654577434062958
3,0.4784561097621918,3,0.4834076464176178,0.4834076464176178,403,0.34082046151161194,3,0.41492369771003723,1640122742,0.34082046151161194
4,0.4486145079135895,4,0.4203934073448181,0.4203934073448181,502,0.29140838980674744,4,0.3944036066532135,1640122841,0.29140838980674744
5,0.4051535129547119,5,0.3391992449760437,0.3391992449760437,601,0.23246967792510986,5,0.3522130250930786,1640122940,0.23246967792510986
6,0.3685365915298462,6,0.2940177917480469,0.2940177917480469,704,0.20282812416553497,6,0.3218329846858978,1640123043,0.20282812416553497
7,0.34139740467071533,7,0.2423599660396576,0.2423599660396576,807,0.2055935263633728,7,0.3067387342453003,1640123146,0.2055935263633728
8,0.3263865113258362,8,0.22367382049560547,0.22367382049560547,906,0.14050699770450592,8,0.2675330340862274,1640123245,0.14050699770450592
9,0.30087870359420776,9,0.18992014229297638,0.18992014229297638,1006,0.229887455701828,9,0.3400569558143616,1640123345,0.2298874706029892
10,0.2886899709701538,10,0.17702817916870117,0.17702817916870117,1105,0.1659073680639267,10,0.29115059971809387,1640123444,0.1659073680639267
11,0.2798977494239807,11,0.16808800399303436,0.16808800399303436,1202,0.17024244368076324,11,0.26469722390174866,1640123541,0.17024244368076324
12,0.26766297221183777,12,0.1564260721206665,0.1564260721206665,1302,0.1297563761472702,12,0.2548641860485077,1640123641,0.1297563761472702
13,0.26032915711402893,13,0.15217098593711853,0.15217098593711853,1404,0.11267787218093872,13,0.23404306173324585,1640123743,0.11267787218093872
14,0.2514502704143524,14,0.14233389496803284,0.14233389496803284,1511,0.12158984690904617,14,0.2247617095708847,1640123850,0.12158984690904617
15,0.23772184550762177,15,0.12412234395742416,0.12412234395742416,1613,0.07951825112104416,15,0.20246978104114532,1640123952,0.07951825112104416
