,val_custom_binary_accuracy,_step,loss,val_f1,binary_crossentropy,_runtime,f1,val_binary_crossentropy,epoch,custom_binary_accuracy,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred,bci_task,repetitions
18,0.5486111044883728,18,,0.6578099727630615,0.4451688230037689,26,0.8912954330444336,0.8315706849098206,64,0.890625,1640334801,0.8315706849098206,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
19,0.5486111044883728,19,,0.6497583985328674,0.40713298320770264,27,0.6201754212379456,0.8350597023963928,64,0.875,1640334802,0.8350597023963928,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
20,0.5277777910232544,20,,0.476190447807312,0.3777039647102356,27,0.8650792837142944,0.8906247615814209,64,0.875,1640334802,0.8906247615814209,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
21,0.6180555820465088,21,,0.679957389831543,0.3603725731372833,27,0.8832798004150391,0.9616097807884216,64,0.890625,1640334802,0.9616097807884216,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
22,0.7083333134651184,22,,0.7516339421272278,0.3170064687728882,28,0.8696969151496887,1.020311713218689,64,0.90625,1640334803,1.020311713218689,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
23,0.7291666865348816,23,,0.7789473533630371,0.34877803921699524,28,0.6437499523162842,1.017807960510254,64,0.875,1640334803,1.017807960510254,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
24,0.5486111044883728,24,,0.635472297668457,0.2874361276626587,28,0.67171710729599,1.0223138332366943,64,0.921875,1640334803,1.0223138332366943,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
25,0.5486111044883728,25,,0.4771929681301117,0.277425616979599,29,0.647321343421936,1.0541807413101196,64,0.65625,1640334804,1.0541807413101196,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
26,0.5972222685813904,26,,0.666666567325592,0.25152382254600525,29,0.6226190328598022,1.1413973569869995,64,0.640625,1640334804,1.1413973569869995,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
27,0.6180555820465088,27,,0.7196171879768372,0.2810208201408386,29,0.7173912525177002,0.9545351266860962,64,0.953125,1640334804,0.9545351266860962,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
28,0.4861111342906952,28,,0.4622221887111664,0.2555387020111084,30,0.8923444151878357,1.1223804950714111,64,0.90625,1640334805,1.1223804950714111,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
29,0.4861111342906952,29,,0.6090908646583557,0.24086309969425201,30,0.9398334622383118,1.265055775642395,64,0.9375,1640334805,1.265055775642395,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
30,0.3541666567325592,30,,0.4126983880996704,0.19150410592556,30,0.7307692170143127,1.4294452667236328,64,0.984375,1640334805,1.4294452667236328,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
31,0.5138888955116272,31,,0.5955555438995361,0.18944001197814941,31,0.6875,1.486545205116272,64,0.9375,1640334806,1.486545205116272,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
32,0.4236111342906952,32,,0.555555522441864,0.15510088205337524,31,0.7142857313156128,1.52000892162323,64,0.96875,1640334806,1.52000892162323,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
33,0.4166666567325592,33,,0.389140248298645,0.13313741981983185,31,0.7291666269302368,1.096366286277771,64,0.96875,1640334806,1.096366286277771,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
34,0.5,34,,0.4967319965362549,0.7463756203651428,32,0.5824175477027893,0.9235654473304749,64,0.859375,1640334807,0.9235654473304749,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
35,0.6805555820465088,35,,0.703130304813385,0.35041919350624084,32,0.6307692527770996,0.8917304277420044,64,0.890625,1640334807,0.8917304277420044,yxnp2c14,16,,,,0.5,,0.6296659708023071,14,False,False,medium,,0.6,,,1,data/snirf/bci_task_2_arithmetic_audiobook.snirf,
