,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred
0,0.5159189105033875,0,,0.560753583908081,20,0.3863457143306732,29,0.465782105922699,1639484653,0.3863457143306732,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
1,0.3785652816295624,1,,0.30616509914398193,29,0.2242480367422104,29,0.347506046295166,1639484662,0.2242480367422104,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
2,0.32445988059043884,2,,0.22509880363941193,39,0.21633540093898773,29,0.34564000368118286,1639484672,0.21633540093898773,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
3,0.29754555225372314,3,,0.1859017312526703,49,0.2469765692949295,29,0.36978888511657715,1639484682,0.2469765692949295,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
4,0.282366544008255,4,,0.1637086570262909,59,0.23182787001132965,29,0.355582058429718,1639484692,0.23182787001132965,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
5,0.27849194407463074,5,,0.1588914543390274,69,0.21382758021354675,29,0.3241826593875885,1639484702,0.21382758021354675,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
6,0.2889496386051178,6,,0.1647050678730011,79,0.1586877703666687,29,0.2877262234687805,1639484712,0.1586877703666687,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
7,0.28549936413764954,7,,0.16899508237838745,89,0.16649498045444489,29,0.304792195558548,1639484722,0.16649498045444489,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
8,0.27428075671195984,8,,0.15723398327827454,99,0.16347447037696838,29,0.290059357881546,1639484732,0.16347447037696838,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
9,0.26788803935050964,9,,0.15900066494941711,109,0.1402527391910553,29,0.2752673923969269,1639484742,0.1402527391910553,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
10,0.2512245774269104,10,,0.1344839632511139,119,0.10034564137458801,29,0.23120185732841492,1639484752,0.10034564137458801,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
11,0.24595220386981964,11,,0.133872851729393,129,0.11899325251579285,29,0.25378814339637756,1639484762,0.11899325251579285,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
12,0.23922081291675568,12,,0.12130241096019745,140,0.08479905873537064,29,0.2113906294107437,1639484773,0.08479905873537064,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
13,0.23103980720043182,13,,0.11443435400724411,150,0.09847225248813629,29,0.23450271785259247,1639484783,0.09847225248813629,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
14,0.22637276351451874,14,,0.11115206032991409,160,0.10732216387987137,29,0.24265505373477936,1639484793,0.10732216387987137,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
15,0.22679837048053741,15,,0.11240353435277939,171,0.09428127110004425,29,0.2276115119457245,1639484804,0.09428127110004425,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
16,0.2264699935913086,16,,0.10838324576616287,181,0.10100448131561279,29,0.22460609674453735,1639484814,0.10100448131561279,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
17,0.2161974161863327,17,,0.10549531131982803,191,0.07609137147665024,29,0.19253979623317719,1639484824,0.07609137147665024,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
18,0.2049286663532257,18,,0.09167002886533737,202,0.06571702659130096,29,0.17954951524734497,1639484835,0.06571702659130096,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
19,0.20303519070148468,19,,0.0931871235370636,212,0.07070067524909973,29,0.19079922139644623,1639484845,0.07070067524909973,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
20,0.20276664197444916,20,,0.08830781280994415,223,0.060249973088502884,29,0.17315702140331268,1639484856,0.060249973088502884,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
21,0.19808641076087952,21,,0.08741753548383713,233,0.06703130900859833,29,0.1880224049091339,1639484866,0.06703130900859833,dbiobg3y,168,4,39,184,0.5088852647543256,,0.06024997308850288,20,,,simple,adam,0.7,0.01,0.7,
