,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred,bci_task
0,0.4877282679080963,0,,0.5117681622505188,106,0.4584537744522095,78,0.510418713092804,1639435587,0.4584537744522095,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
1,0.37843194603919983,1,,0.3166986405849457,134,0.3243235945701599,78,0.4199104905128479,1639435615,0.3243235945701599,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
2,0.33968621492385864,2,,0.2457190603017807,160,0.3148093819618225,78,0.4132482409477234,1639435641,0.3148093819618225,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
3,0.32369354367256165,3,,0.2186206579208374,185,0.2863467335700989,78,0.3883545398712158,1639435666,0.2863467335700989,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
4,0.3082267940044403,4,,0.1958748698234558,211,0.27284908294677734,78,0.3846995532512665,1639435692,0.27284905314445496,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
5,0.2965604066848755,5,,0.18211449682712555,237,0.21160215139389038,78,0.3365388810634613,1639435718,0.21160215139389038,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
6,0.28950801491737366,6,,0.17205063998699188,264,0.2350037544965744,78,0.35238292813301086,1639435745,0.2350037544965744,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
7,0.28417181968688965,7,,0.16159109771251678,290,0.2049998939037323,78,0.32828453183174133,1639435771,0.2049998939037323,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
8,0.26758500933647156,8,,0.14502136409282684,316,0.21854503452777863,78,0.3443545997142792,1639435797,0.21854503452777863,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
9,0.25516000390052795,9,,0.13225562870502472,342,0.16475817561149597,78,0.29125165939331055,1639435823,0.16475817561149597,2e2s0nnz,48,4,39,128,0.5,,0.02582206018269062,72,,,simple,adam,0.7,0.01,0.6,,
