,mean_absolute_error,_step,loss,mean_squared_error,_runtime,val_mean_squared_error,epoch,val_mean_absolute_error,_timestamp,val_loss,run_id,batch_size,future,past,units,dropout,runtime,best_val_loss,best_epoch,pretrained,trainable,preprocess,optimizer,train_split,h_pass,l_pass,layers_transferred,bci_task,repetitions,architecture,pretrain_dense_units,test_channel
20,0.5767481923103333,20.0,,0.5376865863800049,54.0,0.5551504492759705,199,0.5969992280006409,1640570838.0,0.5969992280006409,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
21,0.5764927268028259,21.0,,0.5373415350914001,56.0,0.5532140731811523,199,0.5958476662635803,1640570840.0,0.5958476662635803,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
22,0.576251745223999,22.0,,0.5367950201034546,59.0,0.5540269017219543,199,0.5962812304496765,1640570842.0,0.5962812304496765,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
23,0.5759742856025696,23.0,,0.5363872647285461,61.0,0.5513148903846741,199,0.5947298407554626,1640570845.0,0.5947298407554626,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
24,0.5756247639656067,24.0,,0.5357556343078613,63.0,0.5511077046394348,199,0.5945712327957153,1640570847.0,0.5945712327957153,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
25,0.5758095979690552,25.0,,0.5360740423202515,66.0,0.5535409450531006,199,0.595772922039032,1640570849.0,0.595772922039032,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
26,0.5755058526992798,26.0,,0.5356022715568542,68.0,0.5492178797721863,199,0.5934450626373291,1640570851.0,0.5934450626373291,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
27,0.5750653743743896,27.0,,0.5348331332206726,70.0,0.5481991171836853,199,0.5929557085037231,1640570854.0,0.5929557085037231,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
28,0.5749343037605286,28.0,,0.5345025658607483,73.0,0.5495675802230835,199,0.5936139225959778,1640570856.0,0.5936139225959778,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
29,0.5749083161354065,29.0,,0.5343820452690125,75.0,0.5499841570854187,199,0.5938402414321899,1640570858.0,0.5938402414321899,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
30,0.5749388933181763,30.0,,0.5345046520233154,77.0,0.5495617985725403,199,0.5934988260269165,1640570861.0,0.5934988260269165,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
31,0.5747203826904297,31.0,,0.5340818762779236,80.0,0.5503678321838379,199,0.5939750075340271,1640570863.0,0.5939750075340271,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
32,0.5746159553527832,32.0,,0.5339491963386536,82.0,0.5496734380722046,199,0.5934776663780212,1640570865.0,0.5934776663780212,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
33,0.5743514895439148,33.0,,0.5333389639854431,84.0,0.5504053235054016,199,0.593799889087677,1640570868.0,0.593799889087677,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
34,0.5744140148162842,34.0,,0.5335009098052979,86.0,0.5497951507568359,199,0.5933798551559448,1640570870.0,0.5933798551559448,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
35,0.5742002725601196,35.0,,0.5329737067222595,88.0,0.550036609172821,199,0.5936139225959778,1640570872.0,0.5936139225959778,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
36,0.5740885138511658,36.0,,0.5328587889671326,91.0,0.5497581362724304,199,0.5932499170303345,1640570874.0,0.5932499170303345,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
37,0.5741900205612183,37.0,,0.5330442786216736,93.0,0.5503995418548584,199,0.5936278700828552,1640570876.0,0.5936278700828552,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
38,0.5741598606109619,38.0,,0.5329794883728027,95.0,0.5509777665138245,199,0.5938419103622437,1640570878.0,0.5938419103622437,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
39,0.5739123225212097,39.0,,0.5325497984886169,98.0,0.5500884652137756,199,0.5932854413986206,1640570881.0,0.5932854413986206,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
40,0.5739367008209229,40.0,,0.5324887633323669,100.0,0.5488874912261963,199,0.5926300287246704,1640570884.0,0.5926300287246704,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
41,0.5736732482910156,41.0,,0.5319554805755615,102.0,0.5479397177696228,199,0.5921841263771057,1640570886.0,0.5921841263771057,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
42,0.5734912753105164,42.0,,0.5316640138626099,105.0,0.5469303727149963,199,0.5917358994483948,1640570888.0,0.5917358994483948,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
43,0.5733393430709839,43.0,,0.5313999056816101,107.0,0.5471846461296082,199,0.5917875170707703,1640570890.0,0.5917875170707703,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
44,0.5735753774642944,44.0,,0.5318902730941772,109.0,0.5493132472038269,199,0.5929698944091797,1640570893.0,0.5929698944091797,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
45,0.573533833026886,45.0,,0.5318350791931152,111.0,0.5475795865058899,199,0.591933012008667,1640570895.0,0.591933012008667,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
46,0.5732443928718567,46.0,,0.5310894846916199,114.0,0.5454663038253784,199,0.5909257531166077,1640570897.0,0.5909257531166077,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
47,0.5730322599411011,47.0,,0.5308709740638733,116.0,0.5449888706207275,199,0.5906538367271423,1640570899.0,0.5906538367271423,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
48,0.5728887915611267,48.0,,0.530642032623291,118.0,0.5439754128456116,199,0.5901650786399841,1640570901.0,0.5901650786399841,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
49,0.5726136565208435,49.0,,0.5302656888961792,120.0,0.5437579154968262,199,0.5901089906692505,1640570904.0,0.5901089906692505,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
50,0.5725066661834717,50.0,,0.5300382971763611,122.0,0.5445182919502258,199,0.5904809832572937,1640570906.0,0.5904809832572937,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
51,0.5727841258049011,51.0,,0.5306728482246399,125.0,0.5449628829956055,199,0.5906080603599548,1640570908.0,0.5906080603599548,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
52,0.5724791288375854,52.0,,0.5299650430679321,127.0,0.5437126159667969,199,0.5899032354354858,1640570910.0,0.5899032354354858,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
53,0.5722627639770508,53.0,,0.5294556617736816,129.0,0.5420674085617065,199,0.5892066359519958,1640570913.0,0.5892066359519958,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
54,0.5720007419586182,54.0,,0.5289967060089111,132.0,0.5412197113037109,199,0.588786244392395,1640570915.0,0.588786244392395,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
55,0.5719389915466309,55.0,,0.5291060209274292,134.0,0.5422826409339905,199,0.5896936655044556,1640570918.0,0.5896936655044556,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
56,0.5721341371536255,56.0,,0.5297347903251648,136.0,0.545080304145813,199,0.5906848907470703,1640570920.0,0.5906848907470703,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
57,0.5718459486961365,57.0,,0.5289589762687683,139.0,0.541260838508606,199,0.5886700749397278,1640570922.0,0.5886700749397278,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
58,0.5717432498931885,58.0,,0.5288207530975342,141.0,0.5429221391677856,199,0.5896880030632019,1640570925.0,0.5896880030632019,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
59,0.5713901519775391,59.0,,0.5283298492431641,144.0,0.5408495664596558,199,0.5885284543037415,1640570927.0,0.5885284543037415,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
60,0.571508526802063,60.0,,0.5286176800727844,146.0,0.5423860549926758,199,0.5895171761512756,1640570929.0,0.5895171761512756,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
61,0.5713236927986145,61.0,,0.5281969308853149,148.0,0.5418905019760132,199,0.5892942547798157,1640570932.0,0.5892942547798157,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
62,0.5715337991714478,62.0,,0.5283923149108887,151.0,0.546909749507904,199,0.5918324589729309,1640570934.0,0.5918324589729309,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
63,0.5718711018562317,63.0,,0.5293210744857788,153.0,0.5437053442001343,199,0.5900675058364868,1640570937.0,0.5900675058364868,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
64,0.5709860920906067,64.0,,0.5276182293891907,156.0,0.5377837419509888,199,0.586808979511261,1640570939.0,0.586808979511261,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
65,0.5706754326820374,65.0,,0.5271462202072144,158.0,0.5367404222488403,199,0.5862882733345032,1640570942.0,0.5862882733345032,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
66,0.5705906748771667,66.0,,0.5270476937294006,160.0,0.5408417582511902,199,0.5887177586555481,1640570944.0,0.5887177586555481,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
67,0.571076512336731,67.0,,0.5278430581092834,163.0,0.5416063070297241,199,0.5890457630157471,1640570946.0,0.5890457630157471,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
68,0.5708091855049133,68.0,,0.5273110866546631,165.0,0.5379448533058167,199,0.5868493914604187,1640570949.0,0.5868493914604187,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
69,0.5703457593917847,69.0,,0.5265138745307922,168.0,0.5393112897872925,199,0.5877998471260071,1640570951.0,0.5877998471260071,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
70,0.5701305866241455,70.0,,0.5263136625289917,170.0,0.538152813911438,199,0.5871812105178833,1640570954.0,0.5871812105178833,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
71,0.570093035697937,71.0,,0.5263248682022095,173.0,0.5382075905799866,199,0.5871522426605225,1640570956.0,0.5871522426605225,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
72,0.5697643756866455,72.0,,0.5257841348648071,175.0,0.5368513464927673,199,0.5864230990409851,1640570959.0,0.5864230990409851,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
73,0.5700268149375916,73.0,,0.5263015627861023,178.0,0.5401392579078674,199,0.5880979895591736,1640570961.0,0.5880979895591736,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
74,0.570060133934021,74.0,,0.5261759757995605,180.0,0.5397712588310242,199,0.5880082249641418,1640570964.0,0.5880082249641418,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
75,0.5695990324020386,75.0,,0.5256731510162354,183.0,0.5380672812461853,199,0.5869178175926208,1640570967.0,0.5869178175926208,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
76,0.5696683526039124,76.0,,0.5255653262138367,186.0,0.5390389561653137,199,0.5873704552650452,1640570969.0,0.5873704552650452,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
77,0.569538414478302,77.0,,0.5254343748092651,188.0,0.537879467010498,199,0.5867795348167419,1640570971.0,0.5867795348167419,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
78,0.5694780945777893,78.0,,0.5252945423126221,190.0,0.5378924012184143,199,0.5869283676147461,1640570974.0,0.5869283676147461,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
79,0.5692036151885986,79.0,,0.5248922109603882,193.0,0.5364282131195068,199,0.5859028100967407,1640570976.0,0.5859028100967407,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
80,0.568988025188446,80.0,,0.5245711207389832,195.0,0.5375638604164124,199,0.5864999890327454,1640570979.0,0.5864999890327454,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
81,0.5688133239746094,81.0,,0.5243170261383057,198.0,0.5357257723808289,199,0.5856658220291138,1640570981.0,0.5856658220291138,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
82,0.5687081217765808,82.0,,0.5242700576782227,200.0,0.535973846912384,199,0.585719883441925,1640570983.0,0.585719883441925,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
83,0.5685296654701233,83.0,,0.5238711833953857,202.0,0.5347890853881836,199,0.5851628184318542,1640570986.0,0.5851628184318542,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
84,0.5685197114944458,84.0,,0.523980438709259,205.0,0.5380372405052185,199,0.5867620706558228,1640570988.0,0.5867620706558228,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
85,0.5688000321388245,85.0,,0.5245096683502197,207.0,0.5379667282104492,199,0.5867176055908203,1640570990.0,0.5867176055908203,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
86,0.5683155059814453,86.0,,0.5235674381256104,209.0,0.5349054932594299,199,0.5852223038673401,1640570993.0,0.5852223038673401,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
87,0.5680216550827026,87.0,,0.5229523777961731,211.0,0.5349057912826538,199,0.5850304961204529,1640570995.0,0.5850304961204529,9uo812ce,512,4,39,100,0.5,,0.571929395198822,180,,,medium,nadam,0.7,0.01,0.7,,,1,Dense,128,0
